Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,26427199,27385307,28189672,29249157,30466479,31541209,32716210,36686784,37769499,38972230,40099462,41128771,42239854
"Population, total",SP.POP.TOTL,Albania,ALB,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2866376,2854191,2837849,2811666,2777689,2745972
"Population, total",SP.POP.TOTL,Algeria,DZA,34569592,35196037,35856344,36543541,37260563,38000626,38760168,41927007,42705368,43451666,44177969,44903225,45606480
"Population, total",SP.POP.TOTL,American Samoa,ASM,55891,55366,54849,54310,53691,52995,52217,48424,47321,46189,45035,44273,43914
"Population, total",SP.POP.TOTL,Andorra,AND,76055,73852,71519,70567,71013,71367,71621,75013,76343,77700,79034,79824,80088
"Population, total",SP.POP.TOTL,Angola,AGO,21691522,22507674,23364185,24259111,25188292,26147002,27128337,31273533,32353588,33428486,34503774,35588987,36684202
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,83251,84534,85695,86729,87674,88497,89236,91626,92117,92664,93219,93763,94298
"Population, total",SP.POP.TOTL,Argentina,ARG,40273769,40684338,40788453,41261490,41733271,42202935,42669500,44494502,44938712,45376763,45808747,46234830,46654581
"Population, total",SP.POP.TOTL,Armenia,ARM,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2836557,2820602,2805608,2790974,2780469,2777970
"Population, total",SP.POP.TOTL,Aruba,ABW,97996,99212,100341,101288,102112,102880,103594,105962,106442,106585,106537,106445,106277
"Population, total",SP.POP.TOTL,Australia,AUS,21249199,21691653,22031750,22340024,22733465,23128129,23475686,24963258,25334826,25649248,25685412,26014399,26638544
"Population, total",SP.POP.TOTL,Austria,AUT,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8840521,8879920,8916864,8955797,9041851,9132383
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9939771,10024283,10093121,10137750,10141756,10112555
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,362795,368057,373272,377950,382061,385650,389131,401906,404557,406471,407906,409984,412623
"Population, total",SP.POP.TOTL,Bahrain,BHR,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1487340,1494188,1477469,1463265,1472233,1485509
"Population, total",SP.POP.TOTL,Bangladesh,BGD,145421318,146706810,148391139,150211005,152090649,154030139,155961299,163683958,165516222,167420951,169356251,171186372,172954319
"Population, total",SP.POP.TOTL,Barbados,BRB,272635,273791,274711,275486,276197,276865,277493,279688,280180,280693,281200,281635,281995
"Population, total",SP.POP.TOTL,Belarus,BLR,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9438785,9419758,9379952,9302585,9228071,9178298
"Population, total",SP.POP.TOTL,Belgium,BEL,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11427054,11488980,11538604,11586195,11685814,11822592
"Population, total",SP.POP.TOTL,Belize,BLZ,305671,314171,322106,329538,337059,344688,352335,382066,389095,394921,400031,405272,410825
"Population, total",SP.POP.TOTL,Benin,BEN,8906469,9172514,9445710,9726380,10014078,10308730,10614844,11940683,12290444,12643123,12996895,13352864,13712828
"Population, total",SP.POP.TOTL,Bermuda,BMU,65273,65636,65124,64564,64798,65001,65138,63918,63911,63893,63764,63595,63489
"Population, total",SP.POP.TOTL,Bhutan,BTN,689737,697678,705516,713331,721145,728889,736357,762096,767459,772506,777486,782455,787424
"Population, total",SP.POP.TOTL,Bolivia,BOL,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11606905,11777315,11936162,12079472,12224110,12388571
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3400129,3360711,3318407,3270943,3233526,3210847
"Population, total",SP.POP.TOTL,Botswana,BWA,2007320,2048997,2091664,2134037,2175425,2217278,2260376,2451409,2499702,2546402,2588423,2630296,2675352
"Population, total",SP.POP.TOTL,Brazil,BRA,192672317,194517549,196353492,198185302,199977707,201721767,203459650,210166592,211782878,213196304,214326223,215313498,216422446
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,26115,27044,27556,27962,28421,28657,28971,30335,30610,30910,31122,31305,31538
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,384568,390311,396053,401506,406634,411702,416656,434274,438048,441725,445373,449002,452524
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7025037,6975761,6934015,6877743,6465097,6430370
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,15197915,15650022,16116845,16602651,17113732,17636408,18169842,20392723,20951639,21522626,22100683,22673762,23251485
"Population, total",SP.POP.TOTL,Burundi,BDI,8278109,8709366,9126605,9455733,9795479,10149577,10494913,11493472,11874838,12220227,12551213,12889576,13238559
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,510336,515638,521212,527521,533864,539940,546076,571202,577030,582640,587925,593149,598682
"Population, total",SP.POP.TOTL,Cambodia,KHM,13943888,14155740,14363532,14573885,14786640,14999683,15210817,16025238,16207746,16396860,16589023,16767842,16944826
"Population, total",SP.POP.TOTL,Cameroon,CMR,18777081,19319274,19878036,20448873,21032684,21632850,22299585,25076747,25782341,26491087,27198628,27914536,28647293
"Population, total",SP.POP.TOTL,Canada,CAN,33247298,33630069,34005902,34339221,34713395,35080992,35434066,37072620,37618495,38028638,38239864,38939056,40097761
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,51123,52602,54074,55492,56860,58212,59559,64884,66134,67311,68136,68706,69310
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4467233,4564540,4660067,4732022,4773306,4802428,4798734,5094780,5209324,5343020,5457154,5579144,5742315
"Population, total",SP.POP.TOTL,Chad,TCD,11098664,11496128,11894727,12317730,12754906,13216766,13697126,15604210,16126866,16644701,17179740,17723315,18278568
"Population, total",SP.POP.TOTL,Channel Islands,CHI,154475,155721,156933,157819,158621,159794,160912,167259,169410,171113,172683,174079,175346
"Population, total",SP.POP.TOTL,Chile,CHL,16661462,16833447,17004162,17173573,17341771,17509925,17687108,18701450,19039485,19300315,19493184,19603733,19629590
"Population, total",SP.POP.TOTL,China,CHN,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000
"Population, total",SP.POP.TOTL,Colombia,COL,43815313,44313917,44816108,45308899,45782417,46237930,46677947,49276961,50187406,50930662,51516562,51874024,52085168
"Population, total",SP.POP.TOTL,Comoros,COM,629470,642493,656024,670071,684553,699393,714612,776313,790986,806166,821625,836774,852075
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,62249724,64270232,66391257,68654269,70997870,73460021,76035588,87087355,89906890,92853164,95894118,99010212,102262808
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4089602,4257230,4437884,4584216,4713257,4828066,4944861,5441062,5570733,5702174,5835806,5970424,6106869
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4501921,4563127,4622252,4679926,4736593,4791535,4844288,5040734,5084532,5123105,5153957,5180829,5212173
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,20244449,20677762,21120042,21562914,22010712,22469268,22995555,25493988,26147551,26811790,27478249,28160542,28873034
"Population, total",SP.POP.TOTL,Croatia,HRV,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4087843,4065253,4047680,3878981,3855641,3853200
"Population, total",SP.POP.TOTL,Cuba,CUB,11276609,11283185,11290417,11298710,11309290,11321579,11332026,11328244,11316697,11300698,11256372,11212191,11194449
"Population, total",SP.POP.TOTL,Curacao,CUW,145880,146833,148703,150831,152088,153822,155909,159336,157441,154947,152369,149996,147862
"Population, total",SP.POP.TOTL,Cyprus,CYP,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1218831,1228836,1237537,1244188,1251488,1260138
"Population, total",SP.POP.TOTL,Czechia,CZE,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10629928,10671870,10697858,10505772,10672118,10873689
"Population, total",SP.POP.TOTL,Denmark,DNK,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5793636,5814422,5831404,5856733,5903037,5946952
"Population, total",SP.POP.TOTL,Djibouti,DJI,882886,901103,919199,936811,954297,971753,989087,1057198,1073994,1090156,1105557,1120849,1136455
"Population, total",SP.POP.TOTL,Dominica,DMA,68782,68787,68755,68742,68888,68819,69371,70823,71428,71995,72412,72737,73040
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10765531,10881882,10999664,11117873,11228821,11332972
"Population, total",SP.POP.TOTL,Ecuador,ECU,14496797,14742766,14989585,15237728,15483883,15722989,15957994,17015672,17343740,17588595,17797737,18001000,18190484
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,83844783,85501064,87252413,89200054,91240376,93377890,95592324,103740765,105618671,107465134,109262178,110990103,112716598
"Population, total",SP.POP.TOTL,El Salvador,SLV,6068099,6091188,6114034,6137349,6161289,6185642,6209526,6276342,6280217,6292731,6314167,6336392,6364943
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,994971,1043686,1094524,1144588,1193636,1243941,1295183,1502091,1553031,1596049,1634466,1674908,1714671
"Population, total",SP.POP.TOTL,Eritrea,ERI,3005779,3083888,3147727,3207570,3252596,3296367,3323425,3445374,3498818,3555868,3620312,3684032,3748901
"Population, total",SP.POP.TOTL,Estonia,EST,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1321977,1326898,1329522,1330932,1348840,1366188
"Population, total",SP.POP.TOTL,Ethiopia,ETH,84357105,86755585,89237791,91817929,94451280,97084366,99746766,111129438,114120594,117190911,120283026,123379924,126527060
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48411,48429,48410,48386,48392,48418,48465,50955,51681,52415,52889,53090,53270
"Population, total",SP.POP.TOTL,Fiji,FJI,896731,901383,905169,908355,911059,913453,915560,918996,918465,920422,924610,929766,936375
"Population, total",SP.POP.TOTL,Finland,FIN,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5515525,5521606,5529543,5541017,5556106,5584264
"Population, total",SP.POP.TOTL,France,FRA,64379696,64710879,65030575,65345233,65662240,66002289,66312067,67158348,67388001,67571107,67764304,67971311,68170228
"Population, total",SP.POP.TOTL,French Polynesia,PYF,280558,282283,283788,285265,286584,288032,289873,297606,299717,301920,304032,306279,308872
"Population, total",SP.POP.TOTL,Gabon,GAB,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2192012,2242785,2292573,2341179,2388992,2436566
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2444916,2508883,2573995,2639916,2705992,2773168
"Population, total",SP.POP.TOTL,Georgia,GEO,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3726549,3720161,3722716,3708610,3712502,3760365
"Population, total",SP.POP.TOTL,Germany,DEU,82110097,81902307,81776930,80274983,80425823,80645605,80982500,82905782,83092962,83160871,83196078,83797985,84482267
"Population, total",SP.POP.TOTL,Ghana,GHA,24326087,24950762,25574719,26205941,26858762,27525597,28196358,30870641,31522290,32180401,32833031,33475870,34121985
"Population, total",SP.POP.TOTL,Gibraltar,GIB,30398,30819,31262,31701,32160,32411,32452,32648,32685,32709,32669,32649,32688
"Population, total",SP.POP.TOTL,Greece,GRC,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10732882,10721582,10698599,10569207,10426919,10361295
"Population, total",SP.POP.TOTL,Greenland,GRL,56328,56323,56905,56890,56810,56483,56295,56023,56225,56367,56653,56661,56865
"Population, total",SP.POP.TOTL,Grenada,GRD,112478,113249,114039,114918,115912,116945,117972,121838,122724,123663,124610,125438,126183
"Population, total",SP.POP.TOTL,Guam,GUM,164725,164580,164905,165649,166392,167054,167543,168678,168624,169231,170534,171774,172952
"Population, total",SP.POP.TOTL,Guatemala,GTM,13739299,14000190,14259687,14521515,14781942,15043981,15306316,16346950,16604026,16858333,17109746,17357886,17602431
"Population, total",SP.POP.TOTL,Guinea,GIN,9779785,10021323,10270728,10527712,10788692,11055430,11333365,12554864,12877539,13205153,13531906,13859341,14190612
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1924955,1970457,2015828,2060721,2105566,2150842
"Population, total",SP.POP.TOTL,Guyana,GUY,754150,751258,747932,744230,743966,747420,751115,785514,798753,797202,804567,808726,813834
"Population, total",SP.POP.TOTL,Haiti,HTI,9575247,9730638,9842880,9954312,10108539,10261206,10412740,11012421,11160438,11306801,11447569,11584996,11724763
"Population, total",SP.POP.TOTL,Honduras,HND,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9792850,9958829,10121763,10278345,10432860,10593798
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7452600,7507900,7481000,7413100,7346100,7536100
"Population, total",SP.POP.TOTL,Hungary,HUN,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9775564,9771141,9750149,9709891,9643048,9589872
"Population, total",SP.POP.TOTL,Iceland,ISL,317414,318499,318041,319014,320716,323764,327386,352721,360563,366463,372520,382003,393600
"Population, total",SP.POP.TOTL,India,IND,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663
"Population, total",SP.POP.TOTL,Indonesia,IDN,237936543,240981299,244016173,247099697,250222695,253275918,256229761,267066843,269582878,271857970,273753191,275501339,277534122
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,73318394,74322685,75373855,76342971,77324451,78458928,79961672,85617562,86564202,87290193,87923432,88550570,89172767
"Population, total",SP.POP.TOTL,Iraq,IRQ,29218381,30289040,31264875,32378061,33864447,35481800,36746488,40590700,41563520,42556984,43533592,44496122,45504560
"Population, total",SP.POP.TOTL,Ireland,IRL,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4867316,4934340,4985382,5033164,5127170,5262382
"Population, total",SP.POP.TOTL,Isle of Man,IMN,81997,82915,83828,84350,84338,84144,83896,83775,83933,84046,84263,84519,84710
"Population, total",SP.POP.TOTL,Israel,ISR,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8882800,9054000,9215100,9371400,9557500,9756700
"Population, total",SP.POP.TOTL,Italy,ITA,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60421760,59729081,59438851,59133173,58940425,58761146
"Population, total",SP.POP.TOTL,Jamaica,JAM,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2811835,2813773,2820436,2827695,2827377,2825544
"Population, total",SP.POP.TOTL,Japan,JPN,128063000,128047000,128070000,127833000,127629000,127445000,127276000,126811000,126633000,126261000,125681593,125124989,124516650
"Population, total",SP.POP.TOTL,Jordan,JOR,6632873,6780493,6931258,7109980,7211863,7694814,8658026,10459865,10698683,10928721,11148278,11285869,11337052
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,15776938,16092822,16321872,16557202,16792090,17035551,17288285,18276452,18513673,18755666,19191356,19634983,19900177
"Population, total",SP.POP.TOTL,Kenya,KEN,39186895,40364444,41517895,42635144,43725806,44792368,45831863,49953304,50951450,51985780,53005614,54027487,55100586
"Population, total",SP.POP.TOTL,Kiribati,KIR,103966,105996,107995,109871,111618,113311,114985,122261,124241,126463,128874,131232,133515
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,24469047,24581509,24686435,24783789,24887770,25001819,25126131,25638149,25755441,25867467,25971909,26069416,26160821
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51585058,51764822,51836239,51769539,51672569,51712619
"Population, total",SP.POP.TOTL,Kosovo,XKX,1803370,1797466,1792563,1799338,1807106,1818117,1812771,1797085,1788878,1790133,1786038,1768086,1756374
"Population, total",SP.POP.TOTL,Kuwait,KWT,2650930,2795550,2943356,3143825,3394663,3646518,3761584,4317185,4441100,4360444,4250114,4268873,4310108
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5318700,5383300,5447900,5514600,5607200,5719600,5835500,6322800,6456200,6579900,6773400,6974900,7100800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6135861,6229930,6323418,6416327,6508803,6600742,6691454,7105006,7212053,7319399,7425057,7529475,7633779
"Population, total",SP.POP.TOTL,Latvia,LVA,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1927174,1913822,1900449,1884490,1879383,1881750
"Population, total",SP.POP.TOTL,Lebanon,LBN,4887613,4951135,4995800,5045056,5178337,5678851,6274342,5950839,5781907,5662923,5592631,5489739,5353930
"Population, total",SP.POP.TOTL,Lesotho,LSO,1995014,2009169,2022747,2037677,2054718,2073939,2095242,2198017,2225702,2254100,2281454,2305825,2330318
"Population, total",SP.POP.TOTL,Liberia,LBR,3783887,3905066,4019956,4181150,4331740,4427313,4519398,4889391,4985289,5087584,5193416,5302681,5418377
"Population, total",SP.POP.TOTL,Libya,LBY,6228370,6360191,6491988,6188132,5869870,5985221,6097764,6477793,6569088,6653942,6735277,6812341,6888388
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,35401,35675,35926,36189,36505,36806,37096,38181,38482,38756,39039,39327,39584
"Population, total",SP.POP.TOTL,Lithuania,LTU,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2801543,2794137,2794885,2800839,2831639,2871897
"Population, total",SP.POP.TOTL,Luxembourg,LUX,488650,497783,506953,518347,530946,543360,556319,607950,620001,630419,640064,653103,668606
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,529038,543021,557297,571003,582766,593374,604167,650991,663653,676283,686607,695168,704149
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1971493,1958782,1946298,1937398,1929821,1922716,1917557,1889051,1876262,1856124,1837114,1831712,1811980
"Population, total",SP.POP.TOTL,Madagascar,MDG,20513599,21117092,21731053,22348158,22966240,23588073,24215976,26846541,27533134,28225177,28915653,29611714,30325732
"Population, total",SP.POP.TOTL,Malawi,MWI,13889423,14298932,14718422,15146094,15581251,16024775,16477966,18367883,18867337,19377061,19889742,20405317,20931751
"Population, total",SP.POP.TOTL,Malaysia,MYS,27664296,28217204,28717731,29184133,29660212,30134807,30606459,32399271,32804020,33199993,33573874,33938221,34308525
"Population, total",SP.POP.TOTL,Maldives,MDV,336883,349037,361575,374440,387539,400728,416738,489758,504508,514438,521457,523787,521021
"Population, total",SP.POP.TOTL,Mali,MLI,14551117,15032635,15529181,16039734,16514687,17004033,17551814,19934298,20567424,21224040,21904983,22593590,23293698
"Population, total",SP.POP.TOTL,Malta,MLT,409379,412477,414508,416268,420028,425967,434558,484630,504062,515332,518536,531113,553214
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,53816,53593,53416,52971,52203,51352,50419,45989,44728,43413,42050,41569,41996
"Population, total",SP.POP.TOTL,Mauritania,MRT,3233336,3322616,3419461,3524249,3636113,3742959,3843174,4270712,4383849,4498604,4614974,4736139,4862989
"Population, total",SP.POP.TOTL,Mauritius,MUS,1244121,1247429,1250400,1252404,1255882,1258927,1261208,1265577,1265985,1266014,1266334,1262523,1261041
"Population, total",SP.POP.TOTL,Mexico,MEX,109684489,111049428,112532401,114150481,115755909,117290686,118755887,124013861,125085311,125998302,126705138,127504125,128455567
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108704,107868,107588,107887,108232,108609,109024,110929,111379,112106,113131,114164,115224
"Population, total",SP.POP.TOTL,Moldova,MDA,2868833,2865213,2862354,2860699,2860324,2859558,2857815,2707203,2664224,2635130,2595809,2538894,2486891
"Population, total",SP.POP.TOTL,Monaco,MCO,31862,32401,33178,33945,34700,35425,36110,37029,37034,36922,36686,36469,36297
"Population, total",SP.POP.TOTL,Mongolia,MNG,2633887,2666713,2702520,2743938,2792349,2845153,2902823,3163991,3232430,3294335,3347782,3398366,3447157
"Population, total",SP.POP.TOTL,Montenegro,MNE,616969,618294,619428,620079,620601,621207,621810,622227,622028,621306,619211,617213,616177
"Population, total",SP.POP.TOTL,Morocco,MAR,31634992,32042877,32464865,32903699,33352169,33803527,34248603,35927511,36304408,36688772,37076584,37457971,37840044
"Population, total",SP.POP.TOTL,Mozambique,MOZ,21845571,22436660,23073723,23760421,24487611,25251731,26038704,29423878,30285595,31178239,32077072,32969518,33897354
"Population, total",SP.POP.TOTL,Myanmar,MMR,48729486,49015836,49390988,49794522,50218185,50648334,51072436,52666014,53040212,53423198,53798084,54179306,54577997
"Population, total",SP.POP.TOTL,Namibia,NAM,2038552,2067919,2099271,2132340,2167470,2204510,2243001,2405680,2446644,2489098,2530151,2567012,2604172
"Population, total",SP.POP.TOTL,Nauru,NRU,10243,10233,10241,10283,10444,10694,10940,11924,12132,12315,12511,12668,12780
"Population, total",SP.POP.TOTL,Nepal,NPL,26881544,27026941,27161567,27266399,27330694,27381555,27462106,28506712,28832496,29348627,30034989,30547580,30896590
"Population, total",SP.POP.TOTL,Netherlands,NLD,16445593,16530388,16615394,16693074,16754962,16804432,16865008,17231624,17344874,17441500,17533044,17700982,17879488
"Population, total",SP.POP.TOTL,New Caledonia,NCL,242750,245950,249750,254350,259000,263650,268050,271170,271240,271080,270390,269215,267940
"Population, total",SP.POP.TOTL,New Zealand,NZL,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4900600,4979200,5090200,5111300,5117200,5223100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5687744,5770639,5855734,5942553,6030607,6119379,6208676,6572233,6663924,6755895,6850540,6948392,7046310
"Population, total",SP.POP.TOTL,Niger,NER,15455175,16037915,16647543,17283112,17954407,18653199,19372014,22577058,23443393,24333639,25252722,26207977,27202843
"Population, total",SP.POP.TOTL,Nigeria,NGA,152382506,156595758,160952853,165463745,170075932,174726123,179379016,198387623,203304492,208327405,213401323,218541212,223804632
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,60032,57056,54087,52520,52359,52141,51856,50304,49858,49587,49481,49551,49796
"Population, total",SP.POP.TOTL,Norway,NOR,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5311916,5347896,5379475,5408320,5457127,5519594
"Population, total",SP.POP.TOTL,Oman,OMN,2651028,2697537,2881914,3206870,3535579,3816680,4009267,4601157,4602768,4543399,4520471,4576298,4644384
"Population, total",SP.POP.TOTL,Pakistan,PAK,185931955,190123222,194454498,198602738,202205861,205337562,208251628,219731479,223293280,227196741,231402117,235824862,240485658
"Population, total",SP.POP.TOTL,Palau,PLW,19102,18826,18540,18240,17946,17805,17796,17864,17916,17972,18024,18055,18058
"Population, total",SP.POP.TOTL,Panama,PAN,3495276,3559343,3623617,3688674,3754862,3821556,3888793,4165255,4232532,4294396,4351267,4408581,4468087
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7137988,7358890,7583269,7806637,8026545,8245627,8464153,9329227,9542486,9749640,9949437,10142619,10329931
"Population, total",SP.POP.TOTL,Paraguay,PRY,5645148,5702574,5768613,5843939,5923322,6005652,6090721,6443328,6530026,6618695,6703799,6780744,6861524
"Population, total",SP.POP.TOTL,Peru,PER,28806185,29009326,29229572,29477721,29749589,30038809,30353951,32203944,32824861,33304756,33715471,34049588,34352719
"Population, total",SP.POP.TOTL,Philippines,PHL,91252326,92946951,94636700,96337913,98032317,99700107,101325201,108568836,110380804,112190977,113880328,115559009,117337368
"Population, total",SP.POP.TOTL,Poland,POL,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37974750,37965475,37899070,37747124,36821749,36685849
"Population, total",SP.POP.TOTL,Portugal,PRT,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10283822,10286263,10297081,10361831,10409704,10525347
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3193354,3193694,3281557,3262693,3220113,3205691
"Population, total",SP.POP.TOTL,Qatar,QAT,1444277,1610274,1713504,1804171,1905660,2035501,2214465,2766732,2807235,2760385,2688235,2695122,2716391
"Population, total",SP.POP.TOTL,Romania,ROU,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19473970,19371648,19265250,19122059,19047009,19056116
"Population, total",SP.POP.TOTL,Russian Federation,RUS,142742366,142785348,142849468,143018195,143378447,143805638,144237223,145398106,145453291,145245148,144746762,144236933,143826130
"Population, total",SP.POP.TOTL,Rwanda,RWA,9781996,10043737,10309031,10576932,10840334,11101350,11368451,12531808,12835028,13146362,13461888,13776698,14094683
"Population, total",SP.POP.TOTL,Samoa,WSM,191787,193176,194672,196351,198124,199939,201757,209701,211905,214929,218764,222382,225681
"Population, total",SP.POP.TOTL,San Marino,SMR,30700,31059,31608,32495,33132,33285,33389,34156,34178,34007,33745,33660,33642
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,174004,178128,182138,186044,189924,193757,197497,211344,214599,218641,223107,227380,231856
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,27437353,28483797,29411929,30150945,30821543,31482498,32125564,35018133,35827362,35997107,35950396,36408820,36947025
"Population, total",SP.POP.TOTL,Senegal,SEN,11872929,12195029,12530121,12875880,13231833,13595566,13970308,15574909,16000781,16436120,16876720,17316449,17763163
"Population, total",SP.POP.TOTL,Serbia,SRB,7350222,7320807,7291436,7234099,7199077,7164132,7130576,6982604,6945235,6899126,6834326,6664449,6618026
"Population, total",SP.POP.TOTL,Seychelles,SYC,86956,87298,89770,87441,88303,89949,91359,96762,97625,98462,99258,119878,119773
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6090860,6259842,6436698,6612385,6788587,6964859,7140688,7861281,8046828,8233970,8420641,8605718,8791092
"Population, total",SP.POP.TOTL,Singapore,SGP,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5638676,5703569,5685807,5453566,5637022,5917648
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,33964,34238,34056,33435,34640,36607,37685,38934,39648,40350,40708,40888,41163
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5446771,5454147,5458827,5447247,5431752,5426740
"Population, total",SP.POP.TOTL,Slovenia,SVN,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2073894,2088385,2102419,2108079,2111986,2120937
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,516001,527833,540394,553721,567763,582365,597375,659249,674993,691191,707851,724273,740424
"Population, total",SP.POP.TOTL,Somalia,SOM,11444870,11730037,12026649,12216837,12440326,12852485,13309235,15411094,15981300,16537016,17065581,17597511,18143378
"Population, total",SP.POP.TOTL,South Africa,ZAF,50565812,51170779,51784921,52443325,53145033,53873616,54729551,57339635,58087055,58801927,59392255,59893885,60414495
"Population, total",SP.POP.TOTL,South Sudan,SSD,8823888,9229227,9714419,10243050,10701604,11106031,11213284,10395329,10447666,10606227,10748272,10913164,11088796
"Population, total",SP.POP.TOTL,Spain,ESP,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46797754,47134837,47365655,47415794,47778340,48373336
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21670000,21803000,21919000,22156000,22181000,22037000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47156,47286,47403,47581,47727,47767,47789,47761,47712,47642,47606,47657,47755
"Population, total",SP.POP.TOTL,St. Lucia,LCA,168576,169688,170935,172145,173124,173978,174804,177888,178583,179237,179651,179857,180251
